; Date and time are: 2010-12-18T23:22:13
; Resolution: 670x490
time,input type,event type,target widget class,details
17337,Mouse,MouseMove,QWidget 1,232;283;
17354,Mouse,MouseMove,QWidget 1,222;295;
17370,Mouse,MouseMove,QWidget 1,210;310;
17404,Mouse,MouseMove,QWidget 1,205;317;
17421,Mouse,MouseMove,QWidget 1,202;319;
17687,Mouse,MouseMove,QWidget 1,202;318;
17705,Mouse,MouseMove,QWidget 1,202;315;
17720,Mouse,MouseMove,QWidget 1,204;310;
17737,Mouse,MouseMove,QWidget 1,207;306;
17754,Mouse,MouseMove,QWidget 1,210;303;
17771,Mouse,MouseMove,QWidget 1,213;300;
17788,Mouse,MouseMove,QWidget 1,214;298;
17805,Mouse,MouseMove,QWidget 1,217;296;
17821,Mouse,MouseMove,QWidget 1,219;295;
17837,Mouse,MouseMove,QWidget 1,220;295;
17854,Mouse,MouseMove,QWidget 1,221;295;
17871,Mouse,MouseMove,QWidget 1,222;295;
17888,Mouse,MouseMove,QWidget 1,223;295;
17921,Mouse,MouseMove,QWidget 1,225;295;
17954,Mouse,MouseMove,QWidget 1,226;295;
18189,Mouse,MouseButtonPress,QWidget 1,226;295;L
18268,Mouse,MouseButtonRelease,QWidget 1,226;295;
18274,Mouse,MouseButtonDblClick,QWidget 1,226;295;L
18292,Mouse,MouseButtonRelease,QWidget 1,226;295;
18722,Mouse,MouseMove,QWidget 1,226;293;
18738,Mouse,MouseMove,QWidget 1,226;292;
18755,Mouse,MouseMove,QWidget 1,226;290;
18772,Mouse,MouseMove,QWidget 1,227;288;
18788,Mouse,MouseMove,QWidget 1,230;281;
18805,Mouse,MouseMove,QWidget 1,231;279;
18822,Mouse,MouseMove,QWidget 1,232;278;
18838,Mouse,MouseMove,QWidget 1,233;276;
18855,Mouse,MouseMove,QWidget 1,234;274;
18889,Mouse,MouseMove,QWidget 1,234;273;
18905,Mouse,MouseMove,QWidget 1,235;272;
18922,Mouse,MouseMove,QWidget 1,235;271;
18972,Mouse,MouseMove,QWidget 1,235;270;
18988,Mouse,MouseMove,QWidget 1,235;269;
19005,Mouse,MouseMove,QWidget 1,235;268;
19021,Mouse,MouseMove,QWidget 1,235;267;
19038,Mouse,MouseMove,QWidget 1,235;266;
19055,Mouse,MouseMove,QWidget 1,235;265;
19072,Mouse,MouseMove,QWidget 1,235;264;
19088,Mouse,MouseMove,QWidget 1,235;263;
19105,Mouse,MouseMove,QWidget 1,235;262;
19122,Mouse,MouseMove,QWidget 1,235;261;
19139,Mouse,MouseMove,QWidget 1,235;260;
19172,Mouse,MouseMove,QWidget 1,234;260;
19222,Mouse,MouseMove,QWidget 1,233;260;
19640,Mouse,MouseButtonPress,QWidget 1,233;260;L
19645,Mouse,MouseButtonRelease,QWidget 1,233;260;
20006,Mouse,MouseMove,QWidget 1,233;258;
20023,Mouse,MouseMove,QWidget 1,233;257;
20039,Mouse,MouseMove,QWidget 1,233;256;
20056,Mouse,MouseMove,QWidget 1,234;253;
20072,Mouse,MouseMove,QWidget 1,235;251;
20089,Mouse,MouseMove,QWidget 1,236;248;
20106,Mouse,MouseMove,QWidget 1,238;246;
20122,Mouse,MouseMove,QWidget 1,238;244;
20140,Mouse,MouseMove,QWidget 1,239;244;
20451,Mouse,MouseButtonPress,QWidget 1,239;244;L
20529,Mouse,MouseButtonRelease,QWidget 1,239;244;
20534,Mouse,MouseButtonDblClick,QWidget 1,239;244;L
20553,Mouse,MouseButtonRelease,QWidget 1,239;244;
21107,Mouse,MouseMove,QWidget 1,238;244;
21157,Mouse,MouseMove,QWidget 1,237;244;
21173,Mouse,MouseMove,QWidget 1,237;245;
21190,Mouse,MouseMove,QWidget 1,237;246;
21207,Mouse,MouseMove,QWidget 1,236;246;
21224,Mouse,MouseMove,QWidget 1,236;247;
21240,Mouse,MouseMove,QWidget 1,235;247;
21257,Mouse,MouseMove,QWidget 1,235;248;
21273,Mouse,MouseMove,QWidget 1,234;248;
21307,Mouse,MouseMove,QWidget 1,233;248;
21341,Mouse,MouseMove,QWidget 1,232;248;
21357,Mouse,MouseMove,QWidget 1,232;247;
21374,Mouse,MouseMove,QWidget 1,231;246;
21390,Mouse,MouseMove,QWidget 1,231;244;
21407,Mouse,MouseMove,QWidget 1,231;243;
21424,Mouse,MouseMove,QWidget 1,231;242;
21440,Mouse,MouseMove,QWidget 1,231;241;
21457,Mouse,MouseMove,QWidget 1,231;240;
21474,Mouse,MouseMove,QWidget 1,231;239;
21507,Mouse,MouseMove,QWidget 1,231;237;
21524,Mouse,MouseMove,QWidget 1,231;236;
21541,Mouse,MouseMove,QWidget 1,230;235;
21557,Mouse,MouseMove,QWidget 1,230;234;
21574,Mouse,MouseMove,QWidget 1,230;233;
21590,Mouse,MouseMove,QWidget 1,230;232;
21624,Mouse,MouseMove,QWidget 1,230;231;
22193,Mouse,MouseButtonPress,QWidget 1,230;231;L
22212,Mouse,MouseButtonRelease,QWidget 1,230;231;
23105,Mouse,MouseButtonPress,QWidget 1,230;231;L
23123,Mouse,MouseButtonRelease,QWidget 1,230;231;
23626,Mouse,MouseMove,QWidget 1,230;230;
23642,Mouse,MouseMove,QWidget 1,228;226;
23659,Mouse,MouseMove,QWidget 1,227;222;
23676,Mouse,MouseMove,QWidget 1,224;217;
23692,Mouse,MouseMove,QWidget 1,221;210;
23709,Mouse,MouseMove,QWidget 1,217;205;
23725,Mouse,MouseMove,QWidget 1,214;202;
23742,Mouse,MouseMove,QWidget 1,212;200;
23759,Mouse,MouseMove,QWidget 1,212;197;
23775,Mouse,MouseMove,QWidget 1,211;197;
23792,Mouse,MouseMove,QWidget 1,211;196;
24593,Mouse,MouseMove,QWidget 1,211;198;
24609,Mouse,MouseMove,QWidget 1,213;205;
24626,Mouse,MouseMove,QWidget 1,220;215;
24643,Mouse,MouseMove,QWidget 1,229;232;
24660,Mouse,MouseMove,QWidget 1,239;252;
24676,Mouse,MouseMove,QWidget 1,244;263;
24693,Mouse,MouseMove,QWidget 1,246;267;
24710,Mouse,MouseMove,QWidget 1,250;274;
24726,Mouse,MouseMove,QWidget 1,251;279;
24743,Mouse,MouseMove,QWidget 1,252;281;
24893,Mouse,MouseMove,QWidget 1,252;280;
24910,Mouse,MouseMove,QWidget 1,251;279;
24926,Mouse,MouseMove,QWidget 1,250;277;
24943,Mouse,MouseMove,QWidget 1,249;273;
24960,Mouse,MouseMove,QWidget 1,249;271;
24977,Mouse,MouseMove,QWidget 1,248;268;
25004,Mouse,MouseMove,QWidget 1,247;266;
25010,Mouse,MouseMove,QWidget 1,247;265;
25026,Mouse,MouseMove,QWidget 1,247;264;
25043,Mouse,MouseMove,QWidget 1,246;263;
25110,Mouse,MouseMove,QWidget 1,245;262;
25176,Mouse,MouseMove,QWidget 1,245;261;
25210,Mouse,MouseMove,QWidget 1,244;261;
25680,Mouse,MouseButtonPress,QWidget 1,244;261;L
25698,Mouse,MouseButtonRelease,QWidget 1,244;261;
25927,Mouse,MouseMove,QWidget 1,246;261;
25944,Mouse,MouseMove,QWidget 1,247;261;
25961,Mouse,MouseMove,QWidget 1,249;261;
25978,Mouse,MouseMove,QWidget 1,249;260;
26011,Mouse,MouseMove,QWidget 1,250;259;
26027,Mouse,MouseMove,QWidget 1,250;258;
26044,Mouse,MouseMove,QWidget 1,250;257;
26061,Mouse,MouseMove,QWidget 1,250;255;
26078,Mouse,MouseMove,QWidget 1,250;254;
26094,Mouse,MouseMove,QWidget 1,250;251;
26111,Mouse,MouseMove,QWidget 1,250;247;
26127,Mouse,MouseMove,QWidget 1,250;245;
26144,Mouse,MouseMove,QWidget 1,250;242;
26177,Mouse,MouseMove,QWidget 1,250;238;
26194,Mouse,MouseMove,QWidget 1,250;237;
26228,Mouse,MouseMove,QWidget 1,250;235;
26244,Mouse,MouseMove,QWidget 1,250;234;
26278,Mouse,MouseMove,QWidget 1,250;231;
